,test_roc_auc
assay_22,0.923076923076923
assay_24,0.8888888888888888
assay_19,0.8526785714285714
assay_25,0.7788559754851889
assay_11,0.7767857142857143
assay_23,0.7765625
assay_26,0.7410714285714286
assay_28,0.7392638036809815
assay_20,0.7331378299120235
assay_10,0.731457800511509
assay_18,0.6978643949118918
assay_21,0.6833333333333335
assay_17,0.661790017211704
assay_12,0.6358560794044665
assay_8,0.6317829457364341
assay_14,0.6166453128336536
assay_1,0.5960548885077186
assay_9,0.587121212121212
assay_2,0.5755813953488371
assay_13,0.5740740740740741
assay_0,0.5292682926829269
assay_16,0.5195291599785982
assay_7,0.5190476190476191
assay_27,0.505982905982906
assay_5,0.4907407407407407
assay_15,0.4787878787878787
assay_3,0.475
assay_6,0.4722222222222222
assay_4,0.4666666666666667
